HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,home_fpl,away_fpl,home_win,away_win
Everton,Chelsea,4,2,H,,,,1993-94,62.32142857142857,101.9,0.42435424354243545,0.42435424354243545
Man City,West Ham,0,0,D,,,,1993-94,81.95,68.04545454545455,0.5401785714285714,0.19421487603305784
Southampton,Liverpool,4,2,H,,,,1993-94,60.0,70.07407407407408,0.41262135922330095,0.35424354243542433
Everton,Arsenal,1,1,D,,,,1993-94,62.32142857142857,68.92857142857143,0.42435424354243545,0.36900369003690037
West Ham,Man United,2,2,D,,,,1993-94,68.04545454545455,70.6,0.371900826446281,0.47601476014760147
Chelsea,Tottenham,4,3,H,,,,1993-94,101.9,95.5,0.6051660516605166,0.28044280442804426
Man United,Chelsea,0,1,A,,,,1993-94,70.6,101.9,0.6678966789667896,0.42435424354243545
Liverpool,Everton,2,1,H,,,,1993-94,70.07407407407408,62.32142857142857,0.5793357933579336,0.21033210332103322
Liverpool,Chelsea,2,1,H,,,,1993-94,70.07407407407408,101.9,0.5793357933579336,0.42435424354243545
Southampton,Arsenal,0,4,A,,,,1993-94,60.0,68.92857142857143,0.41262135922330095,0.36900369003690037
West Ham,Newcastle,2,4,A,,,,1993-94,68.04545454545455,0.0,0.371900826446281,0.1910569105691057
Arsenal,Man United,2,2,D,,,,1993-94,68.92857142857143,70.6,0.6383763837638377,0.47601476014760147
Arsenal,Liverpool,1,0,H,,,,1993-94,68.92857142857143,70.07407407407408,0.6383763837638377,0.35424354243542433
Chelsea,West Ham,2,0,H,,,,1993-94,101.9,68.04545454545455,0.6051660516605166,0.19421487603305784
Everton,Tottenham,0,1,A,,,,1993-94,62.32142857142857,95.5,0.42435424354243545,0.28044280442804426
Man United,Liverpool,1,0,H,,,,1993-94,70.6,70.07407407407408,0.6678966789667896,0.35424354243542433
Chelsea,Southampton,2,0,H,,,,1993-94,101.9,60.0,0.6051660516605166,0.17475728155339806
Newcastle,Chelsea,0,0,D,,,,1993-94,0.0,101.9,0.44715447154471544,0.42435424354243545
Southampton,Man City,0,1,A,,,,1993-94,60.0,81.95,0.41262135922330095,0.33482142857142855
Tottenham,West Ham,1,4,A,,,,1993-94,95.5,68.04545454545455,0.4944649446494465,0.19421487603305784
Man City,Newcastle,2,1,H,,,,1993-94,81.95,0.0,0.5401785714285714,0.1910569105691057
West Ham,Everton,0,1,A,,,,1993-94,68.04545454545455,62.32142857142857,0.371900826446281,0.21033210332103322
Arsenal,Chelsea,1,0,H,,,,1993-94,68.92857142857143,101.9,0.6383763837638377,0.42435424354243545
Liverpool,Newcastle,0,2,A,,,,1993-94,70.07407407407408,0.0,0.5793357933579336,0.1910569105691057
Man United,Man City,2,0,H,,,,1993-94,70.6,81.95,0.6678966789667896,0.33482142857142855
Tottenham,Southampton,3,0,H,,,,1993-94,95.5,60.0,0.4944649446494465,0.17475728155339806
West Ham,Liverpool,1,2,A,,,,1993-94,68.04545454545455,70.07407407407408,0.371900826446281,0.35424354243542433
Arsenal,West Ham,0,2,A,,,,1993-94,68.92857142857143,68.04545454545455,0.6383763837638377,0.19421487603305784
Man City,Chelsea,2,2,D,,,,1993-94,81.95,101.9,0.5401785714285714,0.42435424354243545
Man United,Southampton,2,0,H,,,,1993-94,70.6,60.0,0.6678966789667896,0.17475728155339806
Newcastle,Arsenal,2,0,H,,,,1993-94,0.0,68.92857142857143,0.44715447154471544,0.36900369003690037
West Ham,Southampton,3,3,D,,,,1993-94,68.04545454545455,60.0,0.371900826446281,0.17475728155339806
Arsenal,Man City,3,0,H,,,,1994-95,68.92857142857143,81.95,0.6383763837638377,0.33482142857142855
Crystal Palace,Liverpool,1,6,A,,,,1994-95,63.61904761904762,70.07407407407408,0.2818181818181818,0.35424354243542433
Leicester,Newcastle,1,3,A,,,,1994-95,59.875,0.0,0.34965034965034963,0.1910569105691057
Man City,West Ham,3,0,H,,,,1994-95,81.95,68.04545454545455,0.5401785714285714,0.19421487603305784
Tottenham,Everton,2,1,H,,,,1994-95,95.5,62.32142857142857,0.4944649446494465,0.21033210332103322
Man City,Everton,4,0,H,,,,1994-95,81.95,62.32142857142857,0.5401785714285714,0.21033210332103322
Newcastle,Southampton,5,1,H,,,,1994-95,0.0,60.0,0.44715447154471544,0.17475728155339806
Tottenham,Man United,0,1,A,,,,1994-95,95.5,70.6,0.4944649446494465,0.47601476014760147
Liverpool,Arsenal,3,0,H,,,,1994-95,70.07407407407408,68.92857142857143,0.5793357933579336,0.36900369003690037
Chelsea,Man City,3,0,H,,,,1994-95,101.9,81.95,0.6051660516605166,0.33482142857142855
Southampton,Liverpool,0,2,A,,,,1994-95,60.0,70.07407407407408,0.41262135922330095,0.35424354243542433
West Ham,Newcastle,1,3,A,,,,1994-95,68.04545454545455,0.0,0.371900826446281,0.1910569105691057
Liverpool,West Ham,0,0,D,,,,1994-95,70.07407407407408,68.04545454545455,0.5793357933579336,0.19421487603305784
Man City,Crystal Palace,1,1,D,,,,1994-95,81.95,63.61904761904762,0.5401785714285714,0.22727272727272727
Newcastle,Chelsea,4,2,H,,,,1994-95,0.0,101.9,0.44715447154471544,0.42435424354243545
Tottenham,Southampton,1,2,A,,,,1994-95,95.5,60.0,0.4944649446494465,0.17475728155339806
Leicester,Tottenham,3,1,H,,,,1994-95,59.875,95.5,0.34965034965034963,0.28044280442804426
Man United,Liverpool,2,0,H,,,,1994-95,70.6,70.07407407407408,0.6678966789667896,0.35424354243542433
Arsenal,Newcastle,2,3,A,,,,1994-95,68.92857142857143,0.0,0.6383763837638377,0.1910569105691057
Crystal Palace,Chelsea,0,1,A,,,,1994-95,63.61904761904762,101.9,0.2818181818181818,0.42435424354243545
Everton,Leicester,1,1,D,,,,1994-95,62.32142857142857,59.875,0.42435424354243545,0.23776223776223776
Newcastle,Liverpool,1,1,D,,,,1994-95,0.0,70.07407407407408,0.44715447154471544,0.35424354243542433
West Ham,Arsenal,0,2,A,,,,1994-95,68.04545454545455,68.92857142857143,0.371900826446281,0.36900369003690037
Arsenal,Crystal Palace,1,2,A,,,,1994-95,68.92857142857143,63.61904761904762,0.6383763837638377,0.22727272727272727
Man United,Everton,2,0,H,,,,1994-95,70.6,62.32142857142857,0.6678966789667896,0.21033210332103322
